title,director,imdb_rating,metascore
Anora,Sean Baker,7.5,91
Oppenheimer,Christopher Nolan,8.3,90
Everything Everywhere All at Once,"Daniel Kwan, Daniel Scheinert",7.8,81
CODA,Sian Heder,8,72
Nomadland,Chloe Zhao,7.3,87
Parasite,Bong Joon Ho,8.5,97
Green Book,Peter Farrelly,8.2,69
The Shape of Water,Guillermo del Toro,7.3,87
Moonlight,Barry Jenkins,7.4,99
Spotlight,Tom McCarthy,8.1,93
Birdman or (The Unexpected Virtue of Ignorance),Alejandro Gonzalez Inarritu,7.7,87
12 Years a Slave,Steve McQueen,8.1,96
Argo,Ben Affleck,7.7,86
The Artist,Michel Hazanavicius,7.8,89
The King's Speech,Tom Hooper,8,88
The Hurt Locker,Kathryn Bigelow,7.5,95
Slumdog Millionaire,"Danny Boyle, Loveleen Tandan",8,84
No Country for Old Men,"Ethan Coen, Joel Coen",8.2,92
The Departed,Martin Scorsese,8.5,85
Million Dollar Baby,Clint Eastwood,8.1,86
Crash,Paul Haggis,7.7,66
The Lord of the Rings: The Return of the King,Peter Jackson,9,94
Chicago,Rob Marshall,7.2,81
A Beautiful Mind,Ron Howard,8.2,72
Gladiator,Ridley Scott,8.5,67
American Beauty,Sam Mendes,8.3,84
Shakespeare in Love,John Madden,7.1,87
Titanic,James Cameron,7.9,75
The English Patient,Anthony Minghella,7.4,86
Braveheart,Mel Gibson,8.3,68
Forrest Gump,Robert Zemeckis,8.8,82
Schindler's List,Steven Spielberg,9,95
Unforgiven,Clint Eastwood,8.2,85
The Silence of the Lambs,Jonathan Demme,8.6,86
Dances with Wolves,Kevin Costner,8,72
Driving Miss Daisy,Bruce Beresford,7.3,81
Rain Man,Barry Levinson,8,65
The Last Emperor,Bernardo Bertolucci,7.7,76
Platoon,Oliver Stone,8.1,92
Out of Africa,Sydney Pollack,7.1,69
Amadeus,Milos Forman,8.4,87
Terms of Endearment,James L. Brooks,7.4,79
Gandhi,Richard Attenborough,8,79
Chariots of Fire,Hugh Hudson,7.1,78
Ordinary People,Robert Redford,7.7,86
Kramer vs. Kramer,Robert Benton,7.8,77
The Deer Hunter,Michael Cimino,8.1,90
Annie Hall,Woody Allen,7.9,92
Rocky,John G. Avildsen,8.1,70
One Flew Over the Cuckoo's Nest,Milos Forman,8.7,84
The Godfather Part II,Francis Ford Coppola,9,90
The Sting,George Roy Hill,8.3,83
The Godfather,Francis Ford Coppola,9.2,100
The French Connection,William Friedkin,7.7,94
Patton,Franklin J. Schaffner,7.9,86
Midnight Cowboy,John Schlesinger,7.8,79
Oliver!,Carol Reed,7.4,74
In the Heat of the Night,Norman Jewison,7.9,76
A Man for All Seasons,Fred Zinnemann,7.7,72
The Sound of Music,Robert Wise,8.1,63
My Fair Lady,George Cukor,7.7,95
Tom Jones,Tony Richardson,6.4,77
Lawrence of Arabia,David Lean,8.3,100
West Side Story,"Jerome Robbins, Robert Wise",7.6,86
The Apartment,Billy Wilder,8.3,94
Ben-Hur,William Wyler,8.1,90
Gigi,"Vincente Minnelli, Charles Walters",6.6,82
The Bridge on the River Kwai,David Lean,8.1,88
Around the World in 80 Days,"Michael Anderson, John Farrow",6.7,69
Marty,Delbert Mann,7.7,82
On the Waterfront,Elia Kazan,8.1,91
From Here to Eternity,Fred Zinnemann,7.6,85
The Greatest Show on Earth,Cecil B. DeMille,6.5,76
An American in Paris,Vincente Minnelli,7.1,83
All About Eve,Joseph L. Mankiewicz,8.2,98
All the King's Men,Robert Rossen,7.4,N/A
Hamlet,Laurence Olivier,7.5,82
Gentleman's Agreement,Elia Kazan,7.2,N/A
The Best Years of Our Lives,William Wyler,8.1,93
The Lost Weekend,Billy Wilder,7.9,N/A
Going My Way,Leo McCarey,7,90
Casablanca,Michael Curtiz,8.5,100
Mrs. Miniver,William Wyler,7.6,77
How Green Was My Valley,John Ford,7.7,88
Rebecca,Alfred Hitchcock,8.1,86
Gone with the Wind,Victor Fleming,8.2,97
You Can't Take It with You,Frank Capra,7.8,N/A
The Life of Emile Zola,William Dieterle,7.1,N/A
The Great Ziegfeld,Robert Z. Leonard,6.6,69
Mutiny on the Bounty,Frank Lloyd,7.6,87
It Happened One Night,Frank Capra,8.1,87
Cavalcade,Frank Lloyd,5.8,73
Grand Hotel,Edmund Goulding,7.3,79
Cimarron,Wesley Ruggles,5.8,70
All Quiet on the Western Front,Lewis Milestone,8.1,91
The Broadway Melody,Harry Beaumont,5.5,66
Wings,"William A. Wellman, Harry d'Abbadie d'Arrast",7.5,78
