title,letterboxd_rating,lb_url
Anora,3.9,https://letterboxd.com/film/anora/
Oppenheimer,4.2,https://letterboxd.com/film/oppenheimer-2023/
Everything Everywhere All at Once,4.3,https://letterboxd.com/film/everything-everywhere-all-at-once/
CODA,3.9,https://letterboxd.com/film/coda-2021/
Nomadland,3.8,https://letterboxd.com/film/nomadland/
Parasite,4.5,https://letterboxd.com/film/parasite-2019/
Green Book,3.8,https://letterboxd.com/film/green-book/
The Shape of Water,3.7,https://letterboxd.com/film/the-shape-of-water/
Moonlight,4.2,https://letterboxd.com/film/moonlight-2016/
Spotlight,4.1,https://letterboxd.com/film/spotlight/
Birdman or (The Unexpected Virtue of Ignorance),4,https://letterboxd.com/film/birdman-or-the-unexpected-virtue-of-ignorance/
12 Years a Slave,4.2,https://letterboxd.com/film/12-years-a-slave/
Argo,3.7,https://letterboxd.com/film/argo/
The Artist,3.8,https://letterboxd.com/film/the-artist/
The King's Speech,3.8,https://letterboxd.com/film/the-kings-speech/
The Hurt Locker,3.8,https://letterboxd.com/film/the-hurt-locker/
Slumdog Millionaire,3.9,https://letterboxd.com/film/slumdog-millionaire/
No Country for Old Men,4.3,https://letterboxd.com/film/no-country-for-old-men/
The Departed,4.3,https://letterboxd.com/film/the-departed/
Crash,3,https://letterboxd.com/film/crash-2004/
Million Dollar Baby,4,https://letterboxd.com/film/million-dollar-baby/
The Lord of the Rings: The Return of the King,4.5,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/
Chicago,4,https://letterboxd.com/film/chicago/
A Beautiful Mind,3.8,https://letterboxd.com/film/a-beautiful-mind/
Gladiator,4.1,https://letterboxd.com/film/gladiator-2000/
American Beauty,4,https://letterboxd.com/film/american-beauty/
Shakespeare in Love,3.3,https://letterboxd.com/film/shakespeare-in-love/
Titanic,3.8,https://letterboxd.com/film/titanic-1997/
The English Patient,3.6,https://letterboxd.com/film/the-english-patient/
Braveheart,3.9,https://letterboxd.com/film/braveheart/
Forrest Gump,4.1,https://letterboxd.com/film/forrest-gump/
Schindler's List,4.5,https://letterboxd.com/film/schindlers-list/
Unforgiven,4.2,https://letterboxd.com/film/unforgiven/
The Silence of the Lambs,4.3,https://letterboxd.com/film/the-silence-of-the-lambs/
Dances with Wolves,3.9,https://letterboxd.com/film/dances-with-wolves/
Driving Miss Daisy,3.3,https://letterboxd.com/film/driving-miss-daisy/
Rain Man,3.9,https://letterboxd.com/film/rain-man/
The Last Emperor,3.9,https://letterboxd.com/film/the-last-emperor/
Platoon,4,https://letterboxd.com/film/platoon/
Out of Africa,3.4,https://letterboxd.com/film/out-of-africa/
Amadeus,4.3,https://letterboxd.com/film/amadeus/
Terms of Endearment,3.8,https://letterboxd.com/film/terms-of-endearment/
Gandhi,3.7,https://letterboxd.com/film/gandhi/
Chariots of Fire,3.4,https://letterboxd.com/film/chariots-of-fire/
Ordinary People,4,https://letterboxd.com/film/ordinary-people/
Kramer vs. Kramer,4.1,https://letterboxd.com/film/kramer-vs-kramer/
The Deer Hunter,4.2,https://letterboxd.com/film/the-deer-hunter/
Annie Hall,4,https://letterboxd.com/film/annie-hall/
Rocky,4.1,https://letterboxd.com/film/rocky/
One Flew Over the Cuckoo's Nest,4.4,https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/
The Godfather Part II,4.6,https://letterboxd.com/film/the-godfather-part-ii/
The Sting,4.2,https://letterboxd.com/film/the-sting/
The Godfather,4.5,https://letterboxd.com/film/the-godfather/
The French Connection,4,https://letterboxd.com/film/the-french-connection/
Patton,3.9,https://letterboxd.com/film/patton/
Midnight Cowboy,4.1,https://letterboxd.com/film/midnight-cowboy/
Oliver!,3.6,https://letterboxd.com/film/oliver/
In the Heat of the Night,4,https://letterboxd.com/film/in-the-heat-of-the-night/
A Man for All Seasons,3.8,https://letterboxd.com/film/a-man-for-all-seasons/
The Sound of Music,4.2,https://letterboxd.com/film/the-sound-of-music/
My Fair Lady,3.6,https://letterboxd.com/film/my-fair-lady/
Tom Jones,2.9,https://letterboxd.com/film/tom-jones/
Lawrence of Arabia,4.4,https://letterboxd.com/film/lawrence-of-arabia/
West Side Story,3.8,https://letterboxd.com/film/west-side-story/
The Apartment,4.4,https://letterboxd.com/film/the-apartment/
Ben-Hur,4.1,https://letterboxd.com/film/ben-hur-1959/
Gigi,3,https://letterboxd.com/film/gigi/
The Bridge on the River Kwai,4.2,https://letterboxd.com/film/the-bridge-on-the-river-kwai/
Around the World in Eighty Days,3.1,https://letterboxd.com/film/around-the-world-in-eighty-days/
Marty,3.9,https://letterboxd.com/film/marty/
On the Waterfront,4.2,https://letterboxd.com/film/on-the-waterfront/
From Here to Eternity,3.8,https://letterboxd.com/film/from-here-to-eternity/
The Greatest Show on Earth,2.9,https://letterboxd.com/film/the-greatest-show-on-earth/
An American in Paris,3.7,https://letterboxd.com/film/an-american-in-paris/
All About Eve,4.4,https://letterboxd.com/film/all-about-eve/
All the King's Men,3.6,https://letterboxd.com/film/all-the-kings-men/
Hamlet,3.7,https://letterboxd.com/film/hamlet/
Gentleman's Agreement,3.5,https://letterboxd.com/film/gentlemans-agreement/
The Best Years of Our Lives,4.2,https://letterboxd.com/film/the-best-years-of-our-lives/
The Lost Weekend,4,https://letterboxd.com/film/the-lost-weekend/
Going My Way,3.3,https://letterboxd.com/film/going-my-way/
Casablanca,4.3,https://letterboxd.com/film/casablanca/
Mrs. Miniver,3.7,https://letterboxd.com/film/mrs-miniver/
How Green Was My Valley,4,https://letterboxd.com/film/how-green-was-my-valley/
Rebecca,4.1,https://letterboxd.com/film/rebecca/
Gone with the Wind,3.9,https://letterboxd.com/film/gone-with-the-wind/
You Can't Take It with You,3.8,https://letterboxd.com/film/you-cant-take-it-with-you/
The Life of Emile Zola,3.3,https://letterboxd.com/film/the-life-of-emile-zola/
The Great Ziegfeld,3,https://letterboxd.com/film/the-great-ziegfeld/
Mutiny on the Bounty,3.7,https://letterboxd.com/film/mutiny-on-the-bounty/
It Happened One Night,4.2,https://letterboxd.com/film/it-happened-one-night/
Cavalcade,2.5,https://letterboxd.com/film/cavalcade/
Grand Hotel,3.5,https://letterboxd.com/film/grand-hotel/
Cimarron,2.4,https://letterboxd.com/film/cimarron/
All Quiet on the Western Front,4.2,https://letterboxd.com/film/all-quiet-on-the-western-front/
The Broadway Melody,2.4,https://letterboxd.com/film/the-broadway-melody/
Wings,3.8,https://letterboxd.com/film/wings/
